epoch,loss,lr,mae,val_loss,val_mae
0,4.082351207733154,0.0005,0.7849493622779846,0.20464275777339935,0.3317050039768219
1,0.09505810588598251,0.0005,0.24060289561748505,0.09111452102661133,0.258676677942276
2,0.07883612811565399,0.0005,0.22608837485313416,0.06362441927194595,0.1775519698858261
3,0.08265938609838486,0.0005,0.22364743053913116,0.06014609336853027,0.20930840075016022
4,0.07603733986616135,0.0005,0.21736718714237213,0.04514385014772415,0.17044001817703247
5,0.07642712444067001,0.0005,0.21963229775428772,0.06417158246040344,0.2114197164773941
6,0.08148135989904404,0.0005,0.22677548229694366,0.05138001590967178,0.18474873900413513
7,0.08224554359912872,0.0005,0.2292439192533493,0.053786177188158035,0.1950434148311615
8,0.07144191116094589,0.0005,0.2084561288356781,0.05380032956600189,0.17472198605537415
9,0.07032784074544907,0.0005,0.20904508233070374,0.04990796744823456,0.18226805329322815
10,0.06765048205852509,0.0005,0.2032126933336258,0.03894694522023201,0.16426385939121246
11,0.07324705272912979,0.0005,0.21332578361034393,0.12538452446460724,0.3237237334251404
12,0.06841978430747986,0.0005,0.2055838704109192,0.07063264399766922,0.19225971400737762
13,0.06837644428014755,0.0005,0.2080715149641037,0.0706498920917511,0.23374930024147034
14,0.06675668060779572,0.0005,0.20473094284534454,0.7196165323257446,0.7842445373535156
15,0.06617644429206848,0.0005,0.2021939754486084,0.05766117572784424,0.21221496164798737
16,0.06114412471652031,0.0005,0.195575550198555,0.03196653351187706,0.1517469733953476
17,0.05478851869702339,0.0005,0.18385177850723267,0.06439460813999176,0.1794232428073883
18,0.05681930482387543,0.0005,0.1884208470582962,0.027670953422784805,0.1205315962433815
19,0.05335403233766556,0.0005,0.18316370248794556,0.5691456198692322,0.5437546968460083
20,0.073349729180336,0.0005,0.20795783400535583,0.08395110070705414,0.23836316168308258
21,0.05060466006398201,0.0005,0.17717809975147247,0.037477634847164154,0.13109688460826874
22,0.05325158312916756,0.0005,0.1825525164604187,0.026356644928455353,0.11973288655281067
23,0.05145375803112984,0.0005,0.1766585409641266,0.023627659305930138,0.11737287044525146
24,0.04726223275065422,0.0005,0.16965989768505096,0.0415971502661705,0.1838275045156479
25,0.046565692871809006,0.0005,0.1655958741903305,0.07053212076425552,0.22942428290843964
26,0.04569057747721672,0.0005,0.16262607276439667,0.05775926262140274,0.1685863584280014
27,0.042454954236745834,0.0005,0.15973816812038422,0.024922441691160202,0.12461696565151215
28,0.04066712036728859,0.0005,0.1554885059595108,0.17800800502300262,0.3929826021194458
29,0.04786015674471855,0.0005,0.1656314730644226,0.0360247865319252,0.13741707801818848
